# HarvestMath Plant Care — species reference.
#
# Columns: id, common, botanical, group, light, water, baseDays, humidity, size, feed, mist, repotYears, notes
#
#   light     low | medium | bright | direct       (bright = bright indirect)
#   water     arid | dry-between | evenly-moist | wet
#   baseDays  days between waterings for a mid-size indoor pot in growing season.
#             The scheduler moves this by pot size, season, indoor/outdoor and zone —
#             see calc/schedule.ts. It is a starting point, never the answer.
#   humidity  low | average | high
#   feed      none | light | average | heavy
#   mist      y | n   (whether misting does anything useful for this plant)
#
# Toxicity is NOT a column here. It comes from the ASPCA list at lookup time —
# see data/ported/toxicity.ts. One source, and a safety claim never retyped.
id	common	botanical	group	light	water	baseDays	humidity	size	feed	mist	repotYears	notes
african-violet	African Violet	Saintpaulia ionantha	flowering	bright	evenly-moist	6	average	6–8 in	average	n	2	Water from the bottom. Cold water on the leaves leaves permanent pale rings.
anthurium	Flamingo Flower	Anthurium andraeanum	flowering	bright	evenly-moist	7	high	1–2 ft	average	y	2	The red part is a spathe, not a petal. Blooms for months in enough light.
orchid-phal	Moth Orchid	Phalaenopsis spp.	flowering	bright	dry-between	7	average	1–2 ft	light	n	2	Not potted in soil. Bark mix, a soak once a week, and never leave it sitting in water.
christmas-cactus	Christmas Cactus	Schlumbergera bridgesii	succulent	bright	dry-between	10	average	1–2 ft	light	n	3	A jungle cactus, not a desert one — it wants more water than it looks like it should.
jade	Jade Plant	Crassula ovata	succulent	direct	arid	18	low	2–4 ft	light	n	4	Wrinkled leaves mean thirst; soft mushy ones mean too much. Very long-lived.
aloe-vera	Aloe Vera	Aloe barbadensis	succulent	direct	arid	18	low	1–2 ft	light	n	3	Wants far more sun than it usually gets indoors. Drain sharply.
echeveria	Echeveria	Echeveria elegans	succulent	direct	arid	16	low	6–8 in	light	n	3	Stretching towards the window means not enough light — rosettes should stay tight.
haworthia	Zebra Haworthia	Haworthiopsis fasciata	succulent	bright	arid	18	low	4–6 in	light	n	3	Tolerates less light than most succulents. Small enough for a windowsill forever.
string-of-pearls	String of Pearls	Curio rowleyanus	succulent	direct	arid	14	low	2–3 ft trailing	light	n	3	Shrivelled beads mean underwatering; mushy ones mean over. Shallow roots want a shallow pot.
string-of-hearts	String of Hearts	Ceropegia woodii	succulent	bright	arid	14	low	3–6 ft trailing	light	n	3	Tubers along the strands can be pressed into soil to make new plants.
burros-tail	Burro's Tail	Sedum morganianum	succulent	direct	arid	16	low	2–3 ft trailing	light	n	3	Leaves drop at the lightest touch. Put it somewhere it will not be brushed past.
pilea	Chinese Money Plant	Pilea peperomioides	foliage	bright	dry-between	8	average	1 ft	light	n	2	Rotate it weekly or it leans hard towards the light. Produces pups you can separate.
peperomia-obtusifolia	Baby Rubber Plant	Peperomia obtusifolia	foliage	bright	dry-between	10	average	1 ft	light	n	3	Semi-succulent leaves — treat it more like a succulent than a tropical.
peperomia-watermelon	Watermelon Peperomia	Peperomia argyreia	foliage	bright	dry-between	9	average	8–12 in	light	n	3	Striped leaves scorch in direct sun. Bright but filtered.
hoya-carnosa	Wax Plant	Hoya carnosa	vine	bright	dry-between	12	average	4–8 ft trailing	light	n	3	Flowers only when a bit pot-bound. Never cut off the bare flower spur — it reblooms from it.
hoya-kerrii	Sweetheart Hoya	Hoya kerrii	vine	bright	arid	14	low	trailing, slow	light	n	4	A single leaf sold in a pot will usually never grow — it needs a node to become a plant.
schefflera	Umbrella Plant	Schefflera arboricola	foliage	bright	dry-between	9	average	4–8 ft indoors	average	n	3	Gets leggy in low light. Prune hard and it branches.
umbrella-tree	Dwarf Umbrella Tree	Schefflera actinophylla	tree	bright	dry-between	10	average	6–10 ft indoors	average	n	3	The larger cousin, and better suited to a bright corner than a shelf.
croton	Croton	Codiaeum variegatum	foliage	direct	evenly-moist	7	high	3–5 ft	average	y	2	Colour needs strong light. Drops every leaf when moved, then regrows them.
aglaonema	Chinese Evergreen	Aglaonema commutatum	foliage	low	dry-between	10	average	1–3 ft	light	n	3	One of the genuinely low-light plants. Pink and red cultivars need more light than green ones.
dieffenbachia	Dumb Cane	Dieffenbachia seguine	foliage	medium	dry-between	9	average	3–5 ft	average	n	2	Sap is a serious irritant — the common name is a warning. Wash hands after pruning.
syngonium	Arrowhead Vine	Syngonium podophyllum	vine	medium	dry-between	8	average	3–6 ft trailing	light	n	2	Leaves change shape as it matures — arrow-shaped young, lobed later.
tradescantia-zebrina	Inch Plant	Tradescantia zebrina	vine	bright	evenly-moist	7	average	2–3 ft trailing	light	n	2	Grows fast and goes bare at the base. Cut it back hard twice a year.
tradescantia-nanouk	Tradescantia Nanouk	Tradescantia albiflora 'Nanouk'	vine	bright	evenly-moist	7	average	1–2 ft trailing	light	n	2	Needs strong light for the pink. Pinch tips constantly to keep it full.
fittonia	Nerve Plant	Fittonia albivenis	foliage	medium	evenly-moist	4	high	6–8 in	light	y	2	Collapses theatrically when dry and recovers within hours of watering. A terrarium plant really.
oxalis	Purple Shamrock	Oxalis triangularis	flowering	bright	dry-between	7	average	8–12 in	light	n	2	Dies back and looks dead, then returns from the tubers. Let it rest rather than binning it.
alocasia-polly	African Mask Plant	Alocasia × amazonica	foliage	bright	evenly-moist	6	high	1–2 ft	average	y	2	Goes dormant in winter and looks dead. Keep it barely moist and it comes back.
alocasia-zebrina	Zebra Alocasia	Alocasia zebrina	foliage	bright	evenly-moist	6	high	2–3 ft	average	y	2	Striped stems are the point. Spider mites love it — check the undersides.
colocasia	Elephant Ear	Colocasia esculenta	foliage	direct	wet	3	high	3–6 ft	heavy	n	2	A bog plant. It can sit in a saucer of water, which is true of almost nothing else here.
caladium	Caladium	Caladium bicolor	foliage	medium	evenly-moist	5	high	1–2 ft	average	y	1	Grown from tubers, dies back every year, and that is normal rather than a failure.
cast-iron-plant	Cast Iron Plant	Aspidistra elatior	foliage	low	dry-between	14	low	2–3 ft	light	n	4	Named for what it survives. Genuinely the plant for a dark hallway.
norfolk-pine	Norfolk Island Pine	Araucaria heterophylla	tree	bright	evenly-moist	8	high	6–10 ft indoors	light	y	3	Not a real pine and not frost hardy. Drops lower branches permanently if it dries out.
money-tree	Money Tree	Pachira aquatica	tree	bright	dry-between	10	average	4–6 ft indoors	light	n	3	The braid is done at the nursery. Yellow leaves are usually too much water.
lucky-bamboo	Lucky Bamboo	Dracaena sanderiana	foliage	medium	wet	7	average	1–3 ft	light	n	0	Not bamboo. Usually grown in water — change it fortnightly and keep it off tap water.
air-plant	Air Plant	Tillandsia ionantha	other	bright	dry-between	7	average	2–4 in	light	y	0	No soil at all. Soak for 20 minutes weekly and shake it out — trapped water in the base rots it.
venus-flytrap	Venus Flytrap	Dionaea muscipula	carnivore	direct	wet	2	high	4–6 in	none	n	2	Distilled or rainwater only — tap water minerals kill it. Never feed it meat.
pitcher-plant	Pitcher Plant	Sarracenia purpurea	carnivore	direct	wet	2	high	1 ft	none	n	2	Needs a cold winter dormancy. A windowsill all year round will exhaust it.
nepenthes	Tropical Pitcher Plant	Nepenthes ventricosa	carnivore	bright	wet	3	high	1–2 ft	none	y	2	Pitchers form only in high humidity. Distilled water, never fertiliser in the soil.
english-ivy	English Ivy	Hedera helix	vine	medium	evenly-moist	7	average	6–8 ft trailing	light	y	2	Spider mites are near-inevitable in dry indoor air. Rinse the foliage monthly.
grape-ivy	Grape Ivy	Cissus rhombifolia	vine	medium	dry-between	8	average	4–6 ft trailing	light	n	2	Tougher than English ivy indoors and far less mite-prone.
swedish-ivy	Swedish Ivy	Plectranthus australis	vine	bright	evenly-moist	6	average	2–3 ft trailing	light	n	2	Not ivy. Grows fast, roots from any cutting, and wants pinching often.
purple-passion	Purple Passion Plant	Gynura aurantiaca	foliage	bright	evenly-moist	6	average	1–2 ft	light	n	2	The purple fuzz needs bright light. The flowers smell unpleasant — most people cut them off.
nerve-hypoestes	Polka Dot Plant	Hypoestes phyllostachya	foliage	bright	evenly-moist	5	high	1 ft	light	y	1	Short-lived and leggy. Pinch constantly, and take cuttings before it gives up.
aluminium-plant	Aluminium Plant	Pilea cadierei	foliage	medium	evenly-moist	7	average	1 ft	light	y	2	Silver markings are natural. Cut back hard in spring to stop it sprawling.
friendship-plant	Friendship Plant	Pilea involucrata	foliage	medium	evenly-moist	6	high	8–12 in	light	y	2	Textured leaves hold water — a pebble tray suits it better than misting.
basil	Basil	Ocimum basilicum	herb	direct	evenly-moist	2	average	1–2 ft	average	n	1	Pinch the flower spikes the moment they appear or the leaves turn bitter.
mint	Mint	Mentha spicata	herb	bright	evenly-moist	3	average	1–2 ft	average	n	1	Invasive in the ground. Keep it in a pot of its own, always.
rosemary	Rosemary	Salvia rosmarinus	herb	direct	dry-between	9	low	2–4 ft	light	n	3	More rosemary is killed by overwatering than by cold. Sharp drainage matters most.
thyme	Thyme	Thymus vulgaris	herb	direct	dry-between	8	low	6–12 in	light	n	3	Mediterranean — poor soil and full sun. Rich compost makes it floppy and flavourless.
oregano	Oregano	Origanum vulgare	herb	direct	dry-between	6	low	1–2 ft	light	n	2	Flavour is strongest just before it flowers.
parsley	Parsley	Petroselinum crispum	herb	bright	evenly-moist	3	average	1 ft	average	n	1	Biennial — it bolts in its second year and that is the end of it.
cilantro	Cilantro	Coriandrum sativum	herb	bright	evenly-moist	3	average	1–2 ft	average	n	1	Bolts fast in heat. Sow a new pot every three weeks rather than fighting it.
chives	Chives	Allium schoenoprasum	herb	direct	evenly-moist	4	average	1 ft	average	n	2	Cut from the outside. Shearing the whole clump to the base sets it back weeks.
sage	Sage	Salvia officinalis	herb	direct	dry-between	8	low	1–2 ft	light	n	3	Woody and short-lived. Replace every three or four years.
dill	Dill	Anethum graveolens	herb	direct	evenly-moist	3	average	2–3 ft	light	n	1	Does not transplant well — sow it where it will grow.
lemon-balm	Lemon Balm	Melissa officinalis	herb	bright	evenly-moist	4	average	1–2 ft	light	n	2	Spreads like mint. Pot it.
lavender	Lavender	Lavandula angustifolia	herb	direct	arid	10	low	2–3 ft	none	n	3	Wants poor, gritty, dry soil. Feeding it is how most people kill it.
tomato	Tomato	Solanum lycopersicum	vegetable	direct	evenly-moist	2	average	3–8 ft	heavy	n	1	Water at the base and evenly — irregular watering is what splits fruit and causes blossom end rot.
pepper	Pepper	Capsicum annuum	vegetable	direct	evenly-moist	3	average	2–3 ft	heavy	n	1	Needs warmth more than anything. Cold nights stall it completely.
cucumber	Cucumber	Cucumis sativus	vegetable	direct	wet	2	average	4–6 ft vining	heavy	n	1	Bitter fruit is usually irregular watering. Give it something to climb.
lettuce	Lettuce	Lactuca sativa	vegetable	bright	evenly-moist	2	average	8–12 in	average	n	1	Bolts in heat. Afternoon shade buys weeks.
spinach	Spinach	Spinacia oleracea	vegetable	bright	evenly-moist	2	average	8–12 in	average	n	1	Cool-season. Sow in spring and again in autumn, not in midsummer.
kale	Kale	Brassica oleracea	vegetable	direct	evenly-moist	3	average	2–3 ft	heavy	n	1	Sweeter after a frost. Pick from the bottom up and it keeps producing.
carrot	Carrot	Daucus carota	vegetable	direct	evenly-moist	3	average	1 ft	light	n	1	Forked roots come from stony or freshly manured soil, not from bad seed.
radish	Radish	Raphanus sativus	vegetable	direct	evenly-moist	2	average	6 in	light	n	1	Ready in a month. All leaf and no root means too much nitrogen.
beans-bush	Bush Beans	Phaseolus vulgaris	vegetable	direct	evenly-moist	3	average	2 ft	light	n	1	Fixes its own nitrogen — do not feed it like a tomato.
peas	Peas	Pisum sativum	vegetable	direct	evenly-moist	3	average	3–6 ft	light	n	1	Cool-season and quick. Sow as soon as the soil can be worked.
onion	Onion	Allium cepa	vegetable	direct	evenly-moist	4	average	1–2 ft	average	n	1	Bulb size is set by day length — pick a variety for your latitude.
courgette	Zucchini	Cucurbita pepo	vegetable	direct	evenly-moist	2	average	3–4 ft	heavy	n	1	One plant feeds a household. Two feeds a street.
strawberry	Strawberry	Fragaria × ananassa	vegetable	direct	evenly-moist	3	average	8–12 in	average	n	2	Runners drain the parent. Cut them off unless you want more plants.
philo-micans	Velvet Leaf Philodendron	Philodendron hederaceum var. hederaceum	vine	bright	dry-between	8	high	3–6 ft trailing	light	n	2	The velvet finish only holds in humid air; in dry rooms new leaves come out matte and smaller.
philo-birkin	Philodendron Birkin	Philodendron 'Birkin'	foliage	bright	dry-between	9	average	1–2 ft	light	n	2	A sport, so it can revert to plain green or go fully white. Remove all-white leaves — they cannot feed themselves.
philo-xanadu	Xanadu	Thaumatophyllum xanadu	foliage	bright	dry-between	9	average	2–4 ft wide	average	n	3	Self-heading, so it stays a mound rather than climbing. Wider than it is tall.
philo-pink-princess	Pink Princess Philodendron	Philodendron erubescens 'Pink Princess'	vine	bright	dry-between	9	high	3–5 ft	light	n	2	Pink is variegation, not a flower. Half-pink leaves are the target; a fully pink leaf will brown off.
philo-congo	Rojo Congo	Philodendron 'Rojo Congo'	foliage	bright	dry-between	9	average	2–4 ft	average	n	3	New leaves unfurl burgundy and settle to dark green. Wipe the leaves — they show dust badly.
monstera-deliciosa-variegata	Variegated Monstera	Monstera deliciosa 'Albo-Variegata'	foliage	bright	dry-between	10	average	5–7 ft indoors	light	n	2	Slow, and the white sections photosynthesise nothing. Prune back to a variegated node if a plain green run takes over.
rhaphidophora	Mini Monstera	Rhaphidophora tetrasperma	vine	bright	dry-between	8	average	4–8 ft climbing	average	n	2	Not a monstera and not a philodendron. Fast on a pole, leggy without one.
epipremnum-cebu	Cebu Blue Pothos	Epipremnum pinnatum 'Cebu Blue'	vine	bright	dry-between	9	average	5–8 ft trailing	light	n	2	Leaves stay small and silver-blue until it climbs; given a pole they fenestrate and change shape entirely.
epipremnum-neon	Neon Pothos	Epipremnum aureum 'Neon'	vine	bright	dry-between	9	average	5–8 ft trailing	light	n	2	Brightest in good light — in a dim corner the neon dulls to ordinary green.
scindapsus	Silver Satin Pothos	Scindapsus pictus	vine	medium	dry-between	10	average	4–6 ft trailing	light	n	2	The silver is a surface layer; do not scrub it. Tolerates a dim room better than most trailers.
aglaonema-siam	Siam Aurora	Aglaonema 'Siam Aurora'	foliage	medium	dry-between	10	average	1–3 ft	light	n	3	The red holds in medium light, unlike most coloured foliage. Sulks below 15°C.
aglaonema-silver-bay	Silver Bay	Aglaonema 'Silver Bay'	foliage	low	dry-between	11	average	2–3 ft	light	n	3	One of the genuinely low-light-tolerant plants in this list, and forgiving of a missed week.
alocasia-frydek	Alocasia Frydek	Alocasia micholitziana 'Frydek'	foliage	bright	evenly-moist	6	high	1–3 ft	average	y	2	Goes dormant rather than dying when unhappy — if it drops every leaf, keep the tuber barely moist and wait.
alocasia-black-velvet	Black Velvet Alocasia	Alocasia reginula	foliage	medium	evenly-moist	7	high	8–14 in	light	n	2	Small and slow. The velvet leaves mark with water spots, so water the soil and not the plant.
alocasia-dragon	Dragon Scale Alocasia	Alocasia baginda 'Dragon Scale'	foliage	bright	evenly-moist	7	high	1–2 ft	light	n	2	Textured leaves trap dust and spider mites. Check the undersides monthly.
xanthosoma	Lime Zinger	Xanthosoma aurea 'Lime Zinger'	foliage	bright	evenly-moist	6	high	3–5 ft	average	n	2	Thirsty and fast in warmth. Outdoors in summer it doubles; indoors it slows right down.
anthurium-clarinervium	Velvet Cardboard Anthurium	Anthurium clarinervium	foliage	bright	dry-between	8	high	1–2 ft	light	n	2	Grown for the white veining, not flowers. Wants a chunky bark mix, not potting compost.
anthurium-crystallinum	Crystal Anthurium	Anthurium crystallinum	foliage	bright	evenly-moist	7	high	1–2 ft	light	n	2	New leaves emerge coppery and soft, then harden. Do not touch them while they unfurl.
spathiphyllum-sensation	Sensation Peace Lily	Spathiphyllum 'Sensation'	flowering	medium	evenly-moist	7	average	3–5 ft	average	n	3	The largest peace lily sold. Same wilting habit as the small one, but a full-size plant droops hard enough to look dead.
homalomena	Queen of Hearts	Homalomena rubescens	foliage	medium	dry-between	9	average	1–3 ft	light	n	3	Red stems, heart leaves, and far less fuss than the aroids it resembles.
dieffenbachia-camille	Camille Dumb Cane	Dieffenbachia 'Camille'	foliage	medium	dry-between	9	average	2–3 ft	average	n	2	Sap irritates mouth and throat — the common name is literal. Wash hands after pruning.
aspidistra-variegata	Variegated Cast Iron Plant	Aspidistra elatior 'Variegata'	foliage	low	dry-between	14	low	2 ft	none	n	4	Slower and fussier about light than the plain form; too much feed turns the stripes green.
ficus-lyrata-bambino	Bambino Fiddle Leaf	Ficus lyrata 'Bambino'	tree	bright	dry-between	9	average	2–3 ft	average	n	3	A dwarf, so it stays a tabletop plant. Same intolerance of being moved as the full-size tree.
ficus-benjamina-variegata	Variegated Weeping Fig	Ficus benjamina 'Starlight'	tree	bright	dry-between	9	average	4–6 ft indoors	average	n	3	Drops leaves at any change — light, draught, new pot. Leaf fall after a move is normal, not a diagnosis.
ficus-ginseng	Ginseng Ficus	Ficus microcarpa	tree	bright	dry-between	9	average	1–2 ft	light	n	3	The swollen root is the point. Sold as bonsai; prune the top to keep the proportion.
ficus-triangularis	Triangle Ficus	Ficus triangularis	tree	bright	dry-between	10	average	2–4 ft	light	n	3	Thicker leaves than benjamina and far less prone to dropping them.
umbrella-plant-gold	Gold Capella Schefflera	Schefflera arboricola 'Gold Capella'	foliage	bright	dry-between	9	average	3–5 ft	average	n	3	Goes leggy fast in low light. Cut it back hard in spring and it branches rather than stretching.
polyscias	Ming Aralia	Polyscias fruticosa	tree	bright	evenly-moist	8	high	3–6 ft	light	n	3	Drops leaves in dry winter air and looks dead for a month, then re-flushes. Do not repot it in a sulk.
fatsia	Japanese Aralia	Fatsia japonica	foliage	medium	evenly-moist	7	average	3–6 ft	average	n	3	Wants a cool room. Above 22°C all winter it goes soft and pale.
aralia-fabian	Fabian Stump Aralia	Polyscias scutellaria 'Fabian'	tree	bright	dry-between	10	average	3–5 ft	light	n	3	Sold as a grafted stump. Water at the base only; the trunk rots if it sits wet.
crassula-gollum	Gollum Jade	Crassula ovata 'Gollum'	succulent	direct	arid	18	low	1–2 ft	none	n	4	Tubular leaves with red tips in strong sun. Green tips mean it wants more light, not more water.
crassula-arborescens	Silver Dollar Jade	Crassula arborescens	succulent	direct	arid	20	low	2–3 ft	none	n	4	Blue-grey coin leaves. Slower than common jade and even less tolerant of a wet winter.
graptopetalum	Ghost Plant	Graptopetalum paraguayense	succulent	direct	arid	18	low	8–12 in	none	n	3	Powder-coated leaves; handling rubs it off permanently. Drops leaves readily and each one is a new plant.
sempervivum	Hens and Chicks	Sempervivum tectorum	succulent	direct	arid	18	low	4–8 in	none	n	3	Hardy outdoors through frost. The main rosette dies after flowering — that is the plant finishing, not failing.
kalanchoe-blossfeldiana	Flaming Katy	Kalanchoe blossfeldiana	flowering	direct	arid	14	low	8–16 in	light	n	2	Re-blooms only after about six weeks of long, uninterrupted nights. A lamp in the room is enough to stop it.
kalanchoe-tomentosa	Panda Plant	Kalanchoe tomentosa	succulent	direct	arid	18	low	1–2 ft	none	n	3	Furry leaves hold water against the surface — water the soil, never overhead.
kalanchoe-daigremontiana	Mother of Thousands	Kalanchoe daigremontiana	succulent	direct	arid	16	low	1–3 ft	none	n	3	Drops plantlets from every leaf edge and they root in any nearby pot. Keep it away from other plants.
euphorbia-trigona	African Milk Tree	Euphorbia trigona	succulent	direct	arid	18	low	3–6 ft	none	n	4	Not a cactus. The white sap burns skin and eyes — gloves, and never prune it near your face.
euphorbia-tirucalli	Firestick	Euphorbia tirucalli 'Sticks on Fire'	succulent	direct	arid	20	low	3–6 ft	none	n	4	The orange only develops in full sun and cool nights. Same caustic sap as the rest of the genus.
opuntia	Prickly Pear	Opuntia microdasys	succulent	direct	arid	24	low	1–2 ft	none	n	4	The fine golden tufts are glochids and are far worse than spines — they detach on contact and are hard to remove.
mammillaria	Pincushion Cactus	Mammillaria spp.	succulent	direct	arid	24	low	4–8 in	none	n	4	Flowers in a ring around the crown if given a dry, cold winter rest with no water at all.
gymnocalycium	Moon Cactus	Gymnocalycium mihanovichii	succulent	bright	arid	21	low	3–6 in	none	n	4	The coloured top is a mutant with no chlorophyll, grafted onto the green base. It lives only as long as the graft does.
echinocactus	Golden Barrel Cactus	Echinocactus grusonii	succulent	direct	arid	28	low	1–3 ft	none	n	5	Very slow. A specimen the size of a football is decades old, which is what you are paying for.
